sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
1.707639,LOG,,,,,1,ARRIVAL c001 -> q=1
1.707639,ARRIVAL,c001,,,,1,
1.707639,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=4.29m)"
1.707639,START,c001,1,0.000000,4.287136,0,
1.853078,LOG,,,,,1,ARRIVAL c002 -> q=1
1.853078,ARRIVAL,c002,,,,1,
1.853078,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=2.37m)"
1.853078,START,c002,2,0.000000,2.370974,0,
3.978155,LOG,,,,,1,ARRIVAL c003 -> q=1
3.978155,ARRIVAL,c003,,,,1,
4.224052,LOG,,,,,1,DONE    ATM2 -> c002
4.224052,DONE,c002,2,,,1,
4.224052,LOG,,,,,0,"START   ATM2 <- c003 (wait=0.25m, st=4.15m)"
4.224052,START,c003,2,0.245897,4.153313,0,
5.832002,LOG,,,,,1,ARRIVAL c004 -> q=1
5.832002,ARRIVAL,c004,,,,1,
5.994775,LOG,,,,,1,DONE    ATM1 -> c001
5.994775,DONE,c001,1,,,1,
5.994775,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.16m, st=1.87m)"
5.994775,START,c004,1,0.162773,1.865259,0,
7.860034,LOG,,,,,0,DONE    ATM1 -> c004
7.860034,DONE,c004,1,,,0,
8.377366,LOG,,,,,0,DONE    ATM2 -> c003
8.377366,DONE,c003,2,,,0,
9.460326,LOG,,,,,1,ARRIVAL c005 -> q=1
9.460326,ARRIVAL,c005,,,,1,
9.460326,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=2.97m)"
9.460326,START,c005,1,0.000000,2.972768,0,
12.433094,LOG,,,,,0,DONE    ATM1 -> c005
12.433094,DONE,c005,1,,,0,
14.726115,LOG,,,,,1,ARRIVAL c006 -> q=1
14.726115,ARRIVAL,c006,,,,1,
14.726115,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=4.32m)"
14.726115,START,c006,1,0.000000,4.323224,0,
18.906104,LOG,,,,,1,ARRIVAL c007 -> q=1
18.906104,ARRIVAL,c007,,,,1,
18.906104,LOG,,,,,0,"START   ATM2 <- c007 (wait=0.00m, st=1.89m)"
18.906104,START,c007,2,0.000000,1.885467,0,
19.049340,LOG,,,,,0,DONE    ATM1 -> c006
19.049340,DONE,c006,1,,,0,
20.375767,LOG,,,,,1,ARRIVAL c008 -> q=1
20.375767,ARRIVAL,c008,,,,1,
20.375767,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=2.65m)"
20.375767,START,c008,1,0.000000,2.654170,0,
20.791571,LOG,,,,,0,DONE    ATM2 -> c007
20.791571,DONE,c007,2,,,0,
22.853799,LOG,,,,,1,ARRIVAL c009 -> q=1
22.853799,ARRIVAL,c009,,,,1,
22.853799,LOG,,,,,0,"START   ATM2 <- c009 (wait=0.00m, st=2.98m)"
22.853799,START,c009,2,0.000000,2.984676,0,
23.029937,LOG,,,,,0,DONE    ATM1 -> c008
23.029937,DONE,c008,1,,,0,
25.838475,LOG,,,,,0,DONE    ATM2 -> c009
25.838475,DONE,c009,2,,,0,
32.225564,LOG,,,,,1,ARRIVAL c010 -> q=1
32.225564,ARRIVAL,c010,,,,1,
32.225564,LOG,,,,,0,"START   ATM1 <- c010 (wait=0.00m, st=1.96m)"
32.225564,START,c010,1,0.000000,1.957159,0,
34.182723,LOG,,,,,0,DONE    ATM1 -> c010
34.182723,DONE,c010,1,,,0,
39.264431,LOG,,,,,1,ARRIVAL c011 -> q=1
39.264431,ARRIVAL,c011,,,,1,
39.264431,LOG,,,,,0,"START   ATM1 <- c011 (wait=0.00m, st=0.62m)"
39.264431,START,c011,1,0.000000,0.623955,0,
39.888386,LOG,,,,,0,DONE    ATM1 -> c011
39.888386,DONE,c011,1,,,0,
46.984475,LOG,,,,,1,ARRIVAL c012 -> q=1
46.984475,ARRIVAL,c012,,,,1,
46.984475,LOG,,,,,0,"START   ATM1 <- c012 (wait=0.00m, st=1.86m)"
46.984475,START,c012,1,0.000000,1.857225,0,
48.841700,LOG,,,,,0,DONE    ATM1 -> c012
48.841700,DONE,c012,1,,,0,
57.113373,LOG,,,,,1,ARRIVAL c013 -> q=1
57.113373,ARRIVAL,c013,,,,1,
57.113373,LOG,,,,,0,"START   ATM1 <- c013 (wait=0.00m, st=3.27m)"
57.113373,START,c013,1,0.000000,3.272808,0,
60.386181,LOG,,,,,0,DONE    ATM1 -> c013
60.386181,DONE,c013,1,,,0,
61.890257,LOG,,,,,1,ARRIVAL c014 -> q=1
61.890257,ARRIVAL,c014,,,,1,
61.890257,LOG,,,,,0,"START   ATM1 <- c014 (wait=0.00m, st=3.63m)"
61.890257,START,c014,1,0.000000,3.632272,0,
65.125937,LOG,,,,,1,ARRIVAL c015 -> q=1
65.125937,ARRIVAL,c015,,,,1,
65.125937,LOG,,,,,0,"START   ATM2 <- c015 (wait=0.00m, st=2.19m)"
65.125937,START,c015,2,0.000000,2.186242,0,
65.522529,LOG,,,,,0,DONE    ATM1 -> c014
65.522529,DONE,c014,1,,,0,
65.813798,LOG,,,,,1,ARRIVAL c016 -> q=1
65.813798,ARRIVAL,c016,,,,1,
65.813798,LOG,,,,,0,"START   ATM1 <- c016 (wait=0.00m, st=3.57m)"
65.813798,START,c016,1,0.000000,3.574328,0,
67.312179,LOG,,,,,0,DONE    ATM2 -> c015
67.312179,DONE,c015,2,,,0,
68.422608,LOG,,,,,1,ARRIVAL c017 -> q=1
68.422608,ARRIVAL,c017,,,,1,
68.422608,LOG,,,,,0,"START   ATM2 <- c017 (wait=0.00m, st=4.83m)"
68.422608,START,c017,2,0.000000,4.830906,0,
69.388126,LOG,,,,,0,DONE    ATM1 -> c016
69.388126,DONE,c016,1,,,0,
73.253514,LOG,,,,,0,DONE    ATM2 -> c017
73.253514,DONE,c017,2,,,0,
82.017945,LOG,,,,,1,ARRIVAL c018 -> q=1
82.017945,ARRIVAL,c018,,,,1,
82.017945,LOG,,,,,0,"START   ATM1 <- c018 (wait=0.00m, st=1.30m)"
82.017945,START,c018,1,0.000000,1.299141,0,
83.317086,LOG,,,,,0,DONE    ATM1 -> c018
83.317086,DONE,c018,1,,,0,
83.677993,LOG,,,,,1,ARRIVAL c019 -> q=1
83.677993,ARRIVAL,c019,,,,1,
83.677993,LOG,,,,,0,"START   ATM1 <- c019 (wait=0.00m, st=2.95m)"
83.677993,START,c019,1,0.000000,2.947847,0,
86.625841,LOG,,,,,0,DONE    ATM1 -> c019
86.625841,DONE,c019,1,,,0,
86.671568,LOG,,,,,1,ARRIVAL c020 -> q=1
86.671568,ARRIVAL,c020,,,,1,
86.671568,LOG,,,,,0,"START   ATM1 <- c020 (wait=0.00m, st=4.44m)"
86.671568,START,c020,1,0.000000,4.443168,0,
87.594011,LOG,,,,,1,ARRIVAL c021 -> q=1
87.594011,ARRIVAL,c021,,,,1,
87.594011,LOG,,,,,0,"START   ATM2 <- c021 (wait=0.00m, st=3.92m)"
87.594011,START,c021,2,0.000000,3.918916,0,
91.114736,LOG,,,,,0,DONE    ATM1 -> c020
91.114736,DONE,c020,1,,,0,
91.512927,LOG,,,,,0,DONE    ATM2 -> c021
91.512927,DONE,c021,2,,,0,
95.037842,LOG,,,,,1,ARRIVAL c022 -> q=1
95.037842,ARRIVAL,c022,,,,1,
95.037842,LOG,,,,,0,"START   ATM1 <- c022 (wait=0.00m, st=1.20m)"
95.037842,START,c022,1,0.000000,1.198731,0,
96.236574,LOG,,,,,0,DONE    ATM1 -> c022
96.236574,DONE,c022,1,,,0,
97.282375,LOG,,,,,1,ARRIVAL c023 -> q=1
97.282375,ARRIVAL,c023,,,,1,
97.282375,LOG,,,,,0,"START   ATM1 <- c023 (wait=0.00m, st=0.78m)"
97.282375,START,c023,1,0.000000,0.782063,0,
98.064438,LOG,,,,,0,DONE    ATM1 -> c023
98.064438,DONE,c023,1,,,0,
103.688152,LOG,,,,,1,ARRIVAL c024 -> q=1
103.688152,ARRIVAL,c024,,,,1,
103.688152,LOG,,,,,0,"START   ATM1 <- c024 (wait=0.00m, st=1.70m)"
103.688152,START,c024,1,0.000000,1.703410,0,
105.391562,LOG,,,,,0,DONE    ATM1 -> c024
105.391562,DONE,c024,1,,,0,
107.553391,LOG,,,,,1,ARRIVAL c025 -> q=1
107.553391,ARRIVAL,c025,,,,1,
107.553391,LOG,,,,,0,"START   ATM1 <- c025 (wait=0.00m, st=2.60m)"
107.553391,START,c025,1,0.000000,2.595192,0,
110.148584,LOG,,,,,0,DONE    ATM1 -> c025
110.148584,DONE,c025,1,,,0,
118.692676,LOG,,,,,1,ARRIVAL c026 -> q=1
118.692676,ARRIVAL,c026,,,,1,
118.692676,LOG,,,,,0,"START   ATM1 <- c026 (wait=0.00m, st=2.40m)"
118.692676,START,c026,1,0.000000,2.396722,0,
118.758357,LOG,,,,,1,ARRIVAL c027 -> q=1
118.758357,ARRIVAL,c027,,,,1,
118.758357,LOG,,,,,0,"START   ATM2 <- c027 (wait=0.00m, st=2.95m)"
118.758357,START,c027,2,0.000000,2.950864,0,
121.089398,LOG,,,,,0,DONE    ATM1 -> c026
121.089398,DONE,c026,1,,,0,
121.709221,LOG,,,,,0,DONE    ATM2 -> c027
121.709221,DONE,c027,2,,,0,
127.680838,LOG,,,,,1,ARRIVAL c028 -> q=1
127.680838,ARRIVAL,c028,,,,1,
127.680838,LOG,,,,,0,"START   ATM1 <- c028 (wait=0.00m, st=1.13m)"
127.680838,START,c028,1,0.000000,1.126185,0,
128.807023,LOG,,,,,0,DONE    ATM1 -> c028
128.807023,DONE,c028,1,,,0,
130.875850,LOG,,,,,1,ARRIVAL c029 -> q=1
130.875850,ARRIVAL,c029,,,,1,
130.875850,LOG,,,,,0,"START   ATM1 <- c029 (wait=0.00m, st=11.00m)"
130.875850,START,c029,1,0.000000,10.996348,0,
136.505181,LOG,,,,,1,ARRIVAL c030 -> q=1
136.505181,ARRIVAL,c030,,,,1,
136.505181,LOG,,,,,0,"START   ATM2 <- c030 (wait=0.00m, st=10.85m)"
136.505181,START,c030,2,0.000000,10.847590,0,
137.455759,LOG,,,,,1,ARRIVAL c031 -> q=1
137.455759,ARRIVAL,c031,,,,1,
140.579761,LOG,,,,,2,ARRIVAL c032 -> q=2
140.579761,ARRIVAL,c032,,,,2,
141.872198,LOG,,,,,2,DONE    ATM1 -> c029
141.872198,DONE,c029,1,,,2,
141.872198,LOG,,,,,1,"START   ATM1 <- c031 (wait=4.42m, st=3.54m)"
141.872198,START,c031,1,4.416439,3.535681,1,
141.928914,LOG,,,,,2,ARRIVAL c033 -> q=2
141.928914,ARRIVAL,c033,,,,2,
144.393928,LOG,,,,,3,ARRIVAL c034 -> q=3
144.393928,ARRIVAL,c034,,,,3,
145.407879,LOG,,,,,3,DONE    ATM1 -> c031
145.407879,DONE,c031,1,,,3,
145.407879,LOG,,,,,2,"START   ATM1 <- c032 (wait=4.83m, st=1.60m)"
145.407879,START,c032,1,4.828118,1.598410,2,
147.006289,LOG,,,,,2,DONE    ATM1 -> c032
147.006289,DONE,c032,1,,,2,
147.006289,LOG,,,,,1,"START   ATM1 <- c033 (wait=5.08m, st=1.28m)"
147.006289,START,c033,1,5.077374,1.275080,1,
147.352771,LOG,,,,,1,DONE    ATM2 -> c030
147.352771,DONE,c030,2,,,1,
147.352771,LOG,,,,,0,"START   ATM2 <- c034 (wait=2.96m, st=1.06m)"
147.352771,START,c034,2,2.958843,1.055095,0,
148.281369,LOG,,,,,0,DONE    ATM1 -> c033
148.281369,DONE,c033,1,,,0,
148.407866,LOG,,,,,0,DONE    ATM2 -> c034
