sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,0
0.500000,0,0,0,0,0,0
1.000000,0,0,0,0,0,0
1.500000,0,0,0,0,0,0
2.000000,0,0,0,0,0,0
2.500000,0,0,0,0,0,0
3.000000,0,0,0,0,0,0
3.500000,0,0,0,0,0,0
4.000000,0,0,0,0,0,0
4.500000,0,0,0,0,0,0
5.000000,0,0,0,0,0,0
5.500000,0,0,0,0,0,0
6.000000,0,0,0,0,0,0
6.500000,0,0,0,0,0,0
7.000000,0,0,0,0,0,0
7.500000,0,1,0,0,0,1
8.000000,0,1,0,0,0,1
8.500000,0,1,0,0,0,1
9.000000,0,1,0,0,0,1
9.500000,0,1,0,0,0,1
10.000000,0,1,0,0,0,1
10.500000,0,1,0,0,0,1
11.000000,0,1,0,0,0,1
11.500000,0,0,1,0,0,0
12.000000,0,0,1,0,0,0
12.500000,0,0,1,0,0,0
13.000000,0,1,1,0,0,1
13.500000,0,1,1,0,0,1
14.000000,0,1,1,0,0,1
14.500000,0,1,1,0,0,1
15.000000,0,1,1,0,0,1
15.500000,1,1,1,0,0,1
16.000000,1,1,1,0,0,1
16.500000,1,1,1,0,0,1
17.000000,1,1,1,0,0,1
17.500000,1,1,2,0,0,1
18.000000,1,1,2,0,0,1
18.500000,1,1,2,0,0,1
19.000000,1,1,2,0,0,1
19.500000,1,1,2,0,0,1
20.000000,1,1,2,0,0,1
20.500000,1,1,2,0,0,1
21.000000,1,1,2,0,0,1
21.500000,1,1,2,0,0,1
22.000000,1,1,2,0,0,1
22.500000,0,1,3,0,0,1
23.000000,1,1,3,0,0,1
23.500000,2,1,3,0,0,1
24.000000,1,1,4,0,0,1
24.500000,1,1,4,0,0,1
25.000000,2,1,4,0,0,1
25.500000,1,1,5,0,0,1
26.000000,1,1,5,0,0,1
26.500000,1,1,5,0,0,1
27.000000,0,1,6,0,0,1
27.500000,0,1,6,0,0,1
28.000000,0,1,6,0,0,1
28.500000,0,1,6,0,0,1
29.000000,0,0,7,0,0,0
29.500000,0,0,7,0,0,0
30.000000,0,0,7,0,0,0
30.500000,0,0,7,0,0,0
31.000000,0,0,7,0,0,0
31.500000,0,0,7,0,0,0
32.000000,0,0,7,0,0,0
32.500000,0,0,7,0,0,0
33.000000,0,0,7,0,0,0
33.500000,0,0,7,0,0,0
34.000000,0,0,7,0,0,0
34.500000,0,0,7,0,0,0
35.000000,0,0,7,0,0,0
35.500000,0,0,7,0,0,0
36.000000,0,0,7,0,0,0
36.500000,0,0,7,0,0,0
37.000000,0,0,7,0,0,0
37.500000,0,0,7,0,0,0
38.000000,0,1,7,0,0,1
38.500000,0,1,7,0,0,1
39.000000,1,1,7,0,0,1
39.500000,1,1,7,0,0,1
40.000000,0,1,8,0,0,1
40.500000,0,1,8,0,0,1
41.000000,0,1,8,0,0,1
41.500000,0,1,8,0,0,1
42.000000,0,1,8,0,0,1
42.500000,0,1,8,0,0,1
43.000000,0,1,8,0,0,1
43.500000,0,0,9,0,0,0
44.000000,0,0,9,0,0,0
44.500000,0,0,9,0,0,0
45.000000,0,0,9,0,0,0
45.500000,0,0,9,0,0,0
46.000000,0,1,9,0,0,1
46.500000,0,1,9,0,0,1
47.000000,0,1,9,0,0,1
47.500000,1,1,9,0,0,1
48.000000,2,1,9,0,0,1
48.500000,1,1,10,0,0,1
49.000000,1,1,10,0,0,1
49.500000,2,1,10,0,0,1
50.000000,2,1,10,0,0,1
50.500000,1,1,11,0,0,1
51.000000,1,1,11,0,0,1
51.500000,1,1,11,0,0,1
52.000000,1,1,11,0,0,1
52.500000,2,1,11,0,0,1
53.000000,3,1,11,0,0,1
53.500000,3,1,11,0,0,1
54.000000,4,1,11,0,0,1
54.500000,5,1,11,0,0,1
55.000000,5,1,11,0,0,1
55.500000,4,1,12,0,0,1
56.000000,4,1,12,0,0,1
56.500000,5,1,12,0,0,1
57.000000,5,1,12,0,0,1
57.500000,5,1,12,0,0,1
58.000000,5,1,12,0,0,1
58.500000,5,1,12,0,0,1
59.000000,5,1,12,0,0,1
59.500000,5,1,12,0,0,1
60.000000,6,1,12,0,0,1
60.500000,6,1,12,0,0,1
61.000000,7,1,12,0,0,1
61.500000,8,1,12,0,0,1
62.000000,8,1,12,0,0,1
62.500000,7,1,13,0,0,1
63.000000,7,1,13,0,0,1
63.500000,7,1,13,0,0,1
64.000000,7,1,13,0,0,1
64.500000,7,1,13,0,0,1
65.000000,7,1,14,0,0,1
65.500000,7,1,14,0,0,1
66.000000,7,1,14,0,0,1
66.500000,7,1,14,0,0,1
67.000000,7,1,14,0,0,1
67.500000,8,1,14,0,0,1
68.000000,8,1,14,0,0,1
68.500000,7,1,15,0,0,1
69.000000,7,1,15,0,0,1
69.500000,7,1,15,0,0,1
70.000000,7,1,15,0,0,1
70.500000,7,1,15,0,0,1
71.000000,7,1,15,0,0,1
71.500000,7,1,15,0,0,1
72.000000,8,1,15,0,0,1
72.500000,10,1,15,0,0,1
73.000000,10,1,15,0,0,1
73.500000,10,1,15,0,0,1
74.000000,10,1,15,0,0,1
74.500000,9,1,16,0,0,1
75.000000,9,1,16,0,0,1
75.500000,9,1,16,0,0,1
76.000000,9,1,16,0,0,1
76.500000,8,1,17,0,0,1
77.000000,8,1,17,0,0,1
77.500000,8,1,17,0,0,1
78.000000,8,1,17,0,0,1
78.500000,8,1,17,0,0,1
79.000000,8,1,17,0,0,1
79.500000,8,1,17,0,0,1
80.000000,7,1,18,0,0,1
80.500000,7,1,18,0,0,1
81.000000,7,1,18,0,0,1
81.500000,7,1,18,0,0,1
82.000000,6,1,19,0,0,1
82.500000,6,1,19,0,0,1
83.000000,6,1,19,0,0,1
83.500000,6,1,19,0,0,1
84.000000,6,1,19,0,0,1
84.500000,6,1,19,0,0,1
85.000000,6,1,19,0,0,1
85.500000,6,1,19,0,0,1
86.000000,6,1,19,0,0,1
86.500000,6,1,19,0,0,1
87.000000,6,1,19,0,0,1
87.500000,6,1,19,0,0,1
88.000000,6,1,19,0,0,1
88.500000,6,1,19,0,0,1
89.000000,6,1,19,0,0,1
89.500000,6,1,19,0,0,1
90.000000,6,1,19,0,0,1
90.500000,5,1,20,0,0,1
91.000000,5,1,20,0,0,1
91.500000,5,1,20,0,0,1
92.000000,5,1,20,0,0,1
92.500000,5,1,20,0,0,1
93.000000,5,1,20,0,0,1
93.500000,5,1,20,0,0,1
94.000000,6,1,20,0,0,1
94.500000,6,1,20,0,0,1
95.000000,6,1,20,0,0,1
95.500000,6,1,20,0,0,1
96.000000,6,1,20,0,0,1
96.500000,5,1,21,0,0,1
97.000000,5,1,21,0,0,1
97.500000,5,1,21,0,0,1
98.000000,5,1,21,0,0,1
98.500000,7,1,21,0,0,1
99.000000,6,1,22,0,0,1
99.500000,6,1,22,0,0,1
100.000000,6,1,22,0,0,1
100.500000,7,1,22,0,0,1
101.000000,7,1,22,0,0,1
101.500000,6,1,23,0,0,1
102.000000,6,1,23,0,0,1
102.500000,6,1,23,0,0,1
103.000000,5,1,24,0,0,1
103.500000,5,1,24,0,0,1
104.000000,5,1,24,0,0,1
104.500000,5,1,24,0,0,1
105.000000,5,1,24,0,0,1
105.500000,5,1,24,0,0,1
106.000000,4,1,25,0,0,1
106.500000,4,1,25,0,0,1
107.000000,4,1,25,0,0,1
107.500000,4,1,25,0,0,1
108.000000,4,1,25,0,0,1
108.500000,3,1,26,0,0,1
109.000000,3,1,26,0,0,1
109.500000,3,1,26,0,0,1
110.000000,3,1,26,0,0,1
110.500000,3,1,26,0,0,1
111.000000,4,1,27,0,0,1
111.500000,4,1,27,0,0,1
112.000000,3,1,28,0,0,1
112.500000,3,1,28,0,0,1
113.000000,3,1,28,0,0,1
113.500000,3,1,28,0,0,1
114.000000,3,1,28,0,0,1
114.500000,3,1,28,0,0,1
115.000000,3,1,28,0,0,1
115.500000,3,1,28,0,0,1
116.000000,2,1,29,0,0,1
116.500000,2,1,29,0,0,1
117.000000,2,1,29,0,0,1
117.500000,2,1,29,0,0,1
118.000000,2,1,29,0,0,1
118.500000,2,1,29,0,0,1
119.000000,1,1,30,0,0,1
119.500000,1,1,30,0,0,1
120.000000,1,1,30,0,0,1
120.500000,0,1,31,0,0,1
121.000000,0,1,31,0,0,1
121.500000,0,1,31,0,0,1
122.000000,0,1,31,0,0,1
122.500000,0,1,31,0,0,1
123.000000,0,1,31,0,0,1
123.500000,0,1,31,0,0,1
124.000000,0,1,31,0,0,1
124.500000,0,0,32,0,0,0
125.000000,0,1,32,0,0,1
125.500000,0,1,32,0,0,1
126.000000,0,1,32,0,0,1
126.500000,0,0,33,0,0,0
127.000000,0,0,33,0,0,0
127.500000,0,0,33,0,0,0
128.000000,0,0,33,0,0,0
128.500000,0,0,33,0,0,0
