sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
2.235916,LOG,,,,,1,ARRIVAL c001 -> q=1
2.235916,ARRIVAL,c001,,,,1,
2.235916,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=1.61m)"
2.235916,START,c001,1,0.000000,1.609229,0,
3.845145,LOG,,,,,0,DONE    ATM1 -> c001
3.845145,DONE,c001,1,,,0,
9.734110,LOG,,,,,1,ARRIVAL c002 -> q=1
9.734110,ARRIVAL,c002,,,,1,
9.734110,LOG,,,,,0,"START   ATM1 <- c002 (wait=0.00m, st=6.02m)"
9.734110,START,c002,1,0.000000,6.018366,0,
10.304550,LOG,,,,,1,ARRIVAL c003 -> q=1
10.304550,ARRIVAL,c003,,,,1,
10.304550,LOG,,,,,0,"START   ATM2 <- c003 (wait=0.00m, st=1.52m)"
10.304550,START,c003,2,0.000000,1.520880,0,
11.825430,LOG,,,,,0,DONE    ATM2 -> c003
11.825430,DONE,c003,2,,,0,
15.752476,LOG,,,,,0,DONE    ATM1 -> c002
15.752476,DONE,c002,1,,,0,
27.871251,LOG,,,,,1,ARRIVAL c004 -> q=1
27.871251,ARRIVAL,c004,,,,1,
27.871251,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=1.75m)"
27.871251,START,c004,1,0.000000,1.747027,0,
29.618278,LOG,,,,,0,DONE    ATM1 -> c004
29.618278,DONE,c004,1,,,0,
46.017521,LOG,,,,,1,ARRIVAL c005 -> q=1
46.017521,ARRIVAL,c005,,,,1,
46.017521,LOG,,,,,0,"START   ATM1 <- c005 (wait=0.00m, st=1.32m)"
46.017521,START,c005,1,0.000000,1.324118,0,
47.341639,LOG,,,,,0,DONE    ATM1 -> c005
47.341639,DONE,c005,1,,,0,
49.052906,LOG,,,,,1,ARRIVAL c006 -> q=1
49.052906,ARRIVAL,c006,,,,1,
49.052906,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=1.57m)"
49.052906,START,c006,1,0.000000,1.570739,0,
50.110028,LOG,,,,,1,ARRIVAL c007 -> q=1
50.110028,ARRIVAL,c007,,,,1,
50.110028,LOG,,,,,0,"START   ATM2 <- c007 (wait=0.00m, st=3.99m)"
50.110028,START,c007,2,0.000000,3.993686,0,
50.623645,LOG,,,,,0,DONE    ATM1 -> c006
50.623645,DONE,c006,1,,,0,
54.103714,LOG,,,,,0,DONE    ATM2 -> c007
54.103714,DONE,c007,2,,,0,
59.416235,LOG,,,,,1,ARRIVAL c008 -> q=1
59.416235,ARRIVAL,c008,,,,1,
59.416235,LOG,,,,,0,"START   ATM1 <- c008 (wait=0.00m, st=5.78m)"
59.416235,START,c008,1,0.000000,5.781343,0,
