sim_time_min,queue_len,in_service,completed,balked,reneged,atm_busy_flags
0.000000,0,0,0,0,0,00
0.500000,0,0,0,0,0,00
1.000000,0,0,0,0,0,00
1.500000,0,0,0,0,0,00
2.000000,0,0,0,0,0,00
2.500000,0,1,0,0,0,10
3.000000,0,1,0,0,0,10
3.500000,0,1,0,0,0,10
4.000000,0,0,1,0,0,00
4.500000,0,0,1,0,0,00
5.000000,0,0,1,0,0,00
5.500000,0,0,1,0,0,00
6.000000,0,0,1,0,0,00
6.500000,0,0,1,0,0,00
7.000000,0,0,1,0,0,00
7.500000,0,0,1,0,0,00
8.000000,0,0,1,0,0,00
8.500000,0,0,1,0,0,00
9.000000,0,0,1,0,0,00
9.500000,0,0,1,0,0,00
10.000000,0,1,1,0,0,10
10.500000,0,2,1,0,0,11
11.000000,0,2,1,0,0,11
11.500000,0,2,1,0,0,11
12.000000,0,1,2,0,0,10
12.500000,0,1,2,0,0,10
13.000000,0,1,2,0,0,10
13.500000,0,1,2,0,0,10
14.000000,0,1,2,0,0,10
14.500000,0,1,2,0,0,10
15.000000,0,1,2,0,0,10
15.500000,0,1,2,0,0,10
16.000000,0,0,3,0,0,00
16.500000,0,0,3,0,0,00
17.000000,0,0,3,0,0,00
17.500000,0,0,3,0,0,00
18.000000,0,0,3,0,0,00
18.500000,0,0,3,0,0,00
19.000000,0,0,3,0,0,00
19.500000,0,0,3,0,0,00
20.000000,0,0,3,0,0,00
20.500000,0,0,3,0,0,00
21.000000,0,0,3,0,0,00
21.500000,0,0,3,0,0,00
22.000000,0,0,3,0,0,00
22.500000,0,0,3,0,0,00
23.000000,0,0,3,0,0,00
23.500000,0,0,3,0,0,00
24.000000,0,0,3,0,0,00
24.500000,0,0,3,0,0,00
25.000000,0,0,3,0,0,00
25.500000,0,0,3,0,0,00
26.000000,0,0,3,0,0,00
26.500000,0,0,3,0,0,00
27.000000,0,0,3,0,0,00
27.500000,0,0,3,0,0,00
28.000000,0,1,3,0,0,10
28.500000,0,1,3,0,0,10
29.000000,0,1,3,0,0,10
29.500000,0,1,3,0,0,10
30.000000,0,0,4,0,0,00
30.500000,0,0,4,0,0,00
31.000000,0,0,4,0,0,00
31.500000,0,0,4,0,0,00
32.000000,0,0,4,0,0,00
32.500000,0,0,4,0,0,00
33.000000,0,0,4,0,0,00
33.500000,0,0,4,0,0,00
34.000000,0,0,4,0,0,00
34.500000,0,0,4,0,0,00
35.000000,0,0,4,0,0,00
35.500000,0,0,4,0,0,00
36.000000,0,0,4,0,0,00
36.500000,0,0,4,0,0,00
37.000000,0,0,4,0,0,00
37.500000,0,0,4,0,0,00
38.000000,0,0,4,0,0,00
38.500000,0,0,4,0,0,00
39.000000,0,0,4,0,0,00
39.500000,0,0,4,0,0,00
40.000000,0,0,4,0,0,00
40.500000,0,0,4,0,0,00
41.000000,0,0,4,0,0,00
41.500000,0,0,4,0,0,00
42.000000,0,0,4,0,0,00
42.500000,0,0,4,0,0,00
43.000000,0,0,4,0,0,00
43.500000,0,0,4,0,0,00
44.000000,0,0,4,0,0,00
44.500000,0,0,4,0,0,00
45.000000,0,0,4,0,0,00
45.500000,0,0,4,0,0,00
46.000000,0,0,4,0,0,00
46.500000,0,1,4,0,0,10
47.000000,0,1,4,0,0,10
47.500000,0,0,5,0,0,00
48.000000,0,0,5,0,0,00
48.500000,0,0,5,0,0,00
49.000000,0,0,5,0,0,00
49.500000,0,1,5,0,0,10
50.000000,0,1,5,0,0,10
50.500000,0,2,5,0,0,11
51.000000,0,1,6,0,0,01
51.500000,0,1,6,0,0,01
52.000000,0,1,6,0,0,01
52.500000,0,1,6,0,0,01
53.000000,0,1,6,0,0,01
53.500000,0,1,6,0,0,01
54.000000,0,1,6,0,0,01
54.500000,0,0,7,0,0,00
55.000000,0,0,7,0,0,00
55.500000,0,0,7,0,0,00
56.000000,0,0,7,0,0,00
56.500000,0,0,7,0,0,00
57.000000,0,0,7,0,0,00
57.500000,0,0,7,0,0,00
58.000000,0,0,7,0,0,00
58.500000,0,0,7,0,0,00
59.000000,0,0,7,0,0,00
60.000000,0,1,7,0,0,10
